Successful,Aidan Mullins,Aisling Moran,Ben Brennan,Caroline Dwane Stanley,Catherine Fitzgerald,Conor Bergin,James Kelly,John King,John Joe Fennelly,Mary Sweeney,Noel Touhy,Ollie Clooney,Paddy Bracken,Padraig Fleming,Paschal McEvoy,Seamus McDonald,Thomasina Connell,Tom Mulhall,Willie Aird
Comm,1,,,,2,2,,,,,,,1,,1,,,,
Crime,,,,,,1,,,,4,,2,1,,1,,,,
Culture,,1,,1,,1,,,,,,,1,,1,,3,,2
Environ,1,,,,1,2,,,,,,2,1,3,,1,,5,
Family,,,,1,1,,1,,,,,,1,,4,1,,,
Health,,,,,,,1,,4,,,2,1,,,1,,,
Housing,1,,2,,1,,1,,,,,,2,3,,1,3,,
Roads,,,,,,,1,,,3,,,,,,,,,
Transport,,,,,1,,,3,,,,,,,,,,,
